RAD21_B2_4H_DMSO	RAD21_B2_4H_IAA	RAD21_C5_4H_DMSO	RAD21_C5_4H_IAA	LDB1_A8_4H_DMSO_rep1	LDB1_A8_4H_DTAG_500NM_rep1	LDB1_A8_4H_DTAG_50NM_rep1	MED23_D10_4H_DMSO_rep1	MED23_D10_4H_DTAG_500NM_rep1	MED23_D10_8H_DMSO_rep1	MED23_D10_8H_DTAG_500NM_rep1	MED23_D5_4H_DMSO_rep1	MED23_D5_4H_DTAG_500NM_rep1	MED23_D5_8H_DMSO_rep1	MED23_D5_8H_DTAG_500NM_rep1	LDB1_B4_4H_DMSO_rep2	LDB1_B4_4H_DTAG_500NM_rep2	LDB1_B4_4H_DTAG_50NM_rep2
d2EGFP_SV40polyA	95	66	154	64	299	180	325	435	363	352	169	271	270	302	204	523	230	398
ENSG00000000003.16	1	2	0	3	1	4	3	9	14	6	5	8	10	2	15	3	7	18
ENSG00000000005.6	0	0	1	2	0	1	0	1	0	0	0	2	0	0	5	0	0	0
ENSG00000000419.14	439	595	488	280	595	885	918	713	731	575	409	630	661	703	695	1473	1151	1364
ENSG00000000457.14	426	915	381	356	378	827	646	634	903	635	458	636	748	712	935	1046	1075	1134
ENSG00000000460.17	1220	2592	1182	1060	1132	2145	1814	1609	1888	1366	1296	1265	1633	1549	2178	3368	3380	3322
ENSG00000000938.13	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
ENSG00000000971.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001036.14	659	868	713	339	866	1227	1324	1334	1401	1109	731	1260	1325	1293	1379	1417	1270	1449
ENSG00000001084.13	531	930	514	419	464	606	659	1408	1430	1141	798	1178	1230	1338	1497	1345	1182	1266
ENSG00000001167.15	604	961	530	383	618	964	904	800	782	644	432	697	702	727	815	1791	1715	1756
ENSG00000001460.18	216	399	190	165	213	330	301	333	373	277	179	235	293	249	336	539	465	380
ENSG00000001461.17	315	414	345	209	371	352	411	526	614	424	333	439	472	492	572	982	610	801
