Gene	sgRNA	E0_Low|beta	E0_Low|z	E0_Low|p-value	E0_Low|fdr	E0_Low|wald-p-value	E0_Low|wald-fdr	E0_High|beta	E0_High|z	E0_High|p-value	E0_High|fdr	E0_High|wald-p-value	E0_High|wald-fdr	E50_Low|beta	E50_Low|z	E50_Low|p-value	E50_Low|fdr	E50_Low|wald-p-value	E50_Low|wald-fdr	E50_High|beta	E50_High|z	E50_High|p-value	E50_High|fdr	E50_High|wald-p-value	E50_High|wald-fdr	E100_Low|beta	E100_Low|z	E100_Low|p-value	E100_Low|fdr	E100_Low|wald-p-value	E100_Low|wald-fdr	E100_High|beta	E100_High|z	E100_High|p-value	E100_High|fdr	E100_High|wald-p-value	E100_High|wald-fdr	EC100_Low|beta	EC100_Low|z	EC100_Low|p-value	EC100_Low|fdr	EC100_Low|wald-p-value	EC100_Low|wald-fdr	EC100_High|beta	EC100_High|z	EC100_High|p-value	EC100_High|fdr	EC100_High|wald-p-value	EC100_High|wald-fdr
HNRNPD_P1P2	5	0.018111	0.075287	0.97545	0.99265	0.93999	0.99959	-0.079959	-0.33209	0.58071	0.89415	0.73982	0.99985	-0.4413	-1.816	0.03754	0.30806	0.069371	0.49273	-0.093724	-0.38324	0.4756	0.84161	0.70154	0.99956	-0.15079	-0.6254	0.31562	0.73031	0.53171	0.99993	0.016783	0.069903	0.88103	0.97701	0.94427	1	-0.23492	-0.97019	0.094427	0.43658	0.33195	1	-0.026431	-0.10984	0.84233	0.96945	0.91253	0.9992
SP8_P1P2	5	0.063829	0.41376	0.80162	0.95889	0.67905	0.99959	-0.01313	-0.085108	0.92896	0.98954	0.93218	0.99985	-0.060143	-0.38965	0.66561	0.94895	0.69679	0.95942	-0.082732	-0.53498	0.52469	0.85951	0.59266	0.99956	0.065793	0.42649	0.61565	0.88759	0.66975	0.99993	0.076849	0.49827	0.55819	0.8771	0.61829	1	0.015217	0.0986	0.93676	0.98912	0.92146	1	0.16435	1.0655	0.24574	0.66277	0.28664	0.9992
FOXN3_P2	5	-0.037878	-0.22565	0.70835	0.93864	0.82148	0.99959	-0.030495	-0.18169	0.84147	0.97625	0.85583	0.99985	-0.025022	-0.14896	0.78949	0.97643	0.88159	0.99018	0.0011466	0.0068001	0.96044	0.99077	0.99457	0.99956	-0.1457	-0.86759	0.3266	0.73729	0.38562	0.99993	-0.22309	-1.3289	0.10251	0.42995	0.18387	1	0.068743	0.40938	0.62229	0.90058	0.68226	1	-0.19412	-1.1558	0.17846	0.57327	0.24774	0.9992
PDCD4_P2	5	-0.46062	-1.6573	0.010107	0.11182	0.097468	0.99092	-0.65505	-2.3448	0	0	0.019038	0.99985	-0.51714	-1.8463	0.017615	0.19741	0.064851	0.48603	-0.30088	-1.06	0.040716	0.32192	0.28916	0.99956	-0.0082644	-0.030127	0.99336	0.99971	0.97597	0.99993	-0.079789	-0.29174	0.57349	0.88666	0.77048	1	-0.17957	-0.64764	0.19174	0.61284	0.51722	1	-0.33614	-1.2147	0.024256	0.18919	0.22449	0.9992
ZNF85_P1P2	5	0.28698	0.59406	0.098181	0.46448	0.55247	0.99959	0.27033	0.5597	0.096159	0.44341	0.57568	0.99985	0.28014	0.57741	0.24863	0.7262	0.56366	0.92374	0.098784	0.1991	0.52671	0.8616	0.84218	0.99956	0.1018	0.20989	0.45336	0.80459	0.83375	0.99993	-0.084204	-0.17357	0.54952	0.8746	0.8622	1	-0.065044	-0.13299	0.61247	0.89696	0.8942	1	-0.071071	-0.14606	0.60872	0.88833	0.88387	0.9992
ZNF600_P1P2	5	0.22929	1.0318	0.20474	0.65527	0.30218	0.99092	-0.083311	-0.37429	0.56541	0.88678	0.70819	0.99985	0.19419	0.87273	0.45163	0.86792	0.38281	0.8693	-0.23193	-1.0317	0.10309	0.48309	0.30221	0.99956	0.039158	0.17602	0.74329	0.93169	0.86028	0.99993	-0.14425	-0.64843	0.28934	0.68861	0.51671	1	0.077287	0.34708	0.57753	0.87719	0.72853	1	-0.11512	-0.51708	0.42362	0.80952	0.6051	0.9992
ZNF716_P1P2	5	-0.18386	-0.61224	0.22033	0.66871	0.54038	0.99959	0.10343	0.3491	0.50505	0.85381	0.72701	0.99985	-0.2687	-0.88273	0.16922	0.64823	0.37738	0.86703	-0.12415	-0.39714	0.36385	0.78115	0.69127	0.99956	-0.18576	-0.61826	0.216	0.62793	0.53641	0.99993	0.10713	0.36363	0.42073	0.79357	0.71614	1	-0.19138	-0.63109	0.16893	0.58325	0.52798	1	0.0064797	0.021779	0.97545	0.99971	0.98262	0.9992
ZFPM1_P1P2	5	-0.0020637	-0.0049962	0.87179	0.97249	0.99601	0.99959	-0.55301	-1.3361	0.00028877	0.0055866	0.18152	0.99985	0.53492	1.2961	0.016748	0.19398	0.19494	0.71361	-0.57787	-1.3873	0	0	0.16535	0.99956	0.27401	0.66382	0.054577	0.34854	0.50681	0.99993	-0.62807	-1.5179	0.00028877	0.0053191	0.12904	1	0.54996	1.3326	0.00028877	0.0044248	0.18266	1	-1.3178	-3.1679	0	0	0.0015353	0.33229
ZNF705A_P1P2	5	-0.040635	-0.24348	0.69593	0.93738	0.80763	0.99959	-0.2035	-1.2188	0.1594	0.56517	0.22293	0.99985	-0.22802	-1.3643	0.22986	0.71008	0.17247	0.68572	0.023637	0.14115	0.91886	0.98723	0.88776	0.99956	-0.032282	-0.19343	0.86053	0.97322	0.84662	0.99993	-0.033812	-0.2027	0.82443	0.96649	0.83937	1	0.049373	0.29573	0.7352	0.93757	0.76744	1	-0.057536	-0.34475	0.67543	0.9132	0.73028	0.9992
ZNF571_P1P2	5	-0.098684	-0.65573	0.46463	0.85503	0.512	0.99959	0.071065	0.47255	0.65463	0.92008	0.63653	0.99985	-0.058889	-0.39103	0.67052	0.94911	0.69578	0.95909	-0.16224	-1.0717	0.24256	0.68468	0.28385	0.99956	0.031732	0.21095	0.78025	0.94245	0.83293	0.99993	-0.066036	-0.43912	0.64453	0.91928	0.66057	1	-0.10282	-0.68258	0.43748	0.80392	0.49487	1	-0.22624	-1.5026	0.11955	0.46833	0.13293	0.9992
