Gene	sgRNA	eff
HNRNPD_P1P2	HNRNPD_-_83295081.23-P1P2_4	1
HNRNPD_P1P2	HNRNPD_-_83295084.23-P1P2_5	1
HNRNPD_P1P2	HNRNPD_+_83295094.23-P1P2_1	1
HNRNPD_P1P2	HNRNPD_+_83295097.23-P1P2_3	1
HNRNPD_P1P2	HNRNPD_+_83295100.23-P1P2_2	1
SP8_P1P2	SP8_+_20826433.23-P1P2_4	1
SP8_P1P2	SP8_+_20826307.23-P1P2_5	1
SP8_P1P2	SP8_+_20826436.23-P1P2_1	1
SP8_P1P2	SP8_+_20826522.23-P1P2_2	1
SP8_P1P2	SP8_-_20826141.23-P1P2_3	1
FOXN3_P2	FOXN3_-_89883583.23-P2_3	1
FOXN3_P2	FOXN3_+_89883100.23-P2_4	1
FOXN3_P2	FOXN3_-_89883517.23-P2_2	1
FOXN3_P2	FOXN3_-_89883145.23-P2_5	1
FOXN3_P2	FOXN3_-_89883319.23-P2_1	1
negative_control_na	non-targeting_00188	1
negative_control_na	non-targeting_00594	1
negative_control_na	non-targeting_00106	1
negative_control_na	non-targeting_00168	1
negative_control_na	non-targeting_00334	1
negative_control_na	non-targeting_00249	1
negative_control_na	non-targeting_00212	1
negative_control_na	non-targeting_00618	1
negative_control_na	non-targeting_00422	1
negative_control_na	non-targeting_00056	1
negative_control_na	non-targeting_00381	1
negative_control_na	non-targeting_00316	1
negative_control_na	non-targeting_00232	1
negative_control_na	non-targeting_00273	1
negative_control_na	non-targeting_00424	1
negative_control_na	non-targeting_00452	1
negative_control_na	non-targeting_00078	1
negative_control_na	non-targeting_00147	1
negative_control_na	non-targeting_00225	1
negative_control_na	non-targeting_00260	1
negative_control_na	non-targeting_00302	1
negative_control_na	non-targeting_00382	1
negative_control_na	non-targeting_00274	1
negative_control_na	non-targeting_00502	1
negative_control_na	non-targeting_00324	1
negative_control_na	non-targeting_00175	1
negative_control_na	non-targeting_00049	1
negative_control_na	non-targeting_00211	1
negative_control_na	non-targeting_00338	1
negative_control_na	non-targeting_00511	1
negative_control_na	non-targeting_00347	1
negative_control_na	non-targeting_00529	1
negative_control_na	non-targeting_00468	1
negative_control_na	non-targeting_00252	1
negative_control_na	non-targeting_00611	1
negative_control_na	non-targeting_00420	1
negative_control_na	non-targeting_00200	1
negative_control_na	non-targeting_00364	1
negative_control_na	non-targeting_00572	1
negative_control_na	non-targeting_00189	1
negative_control_na	non-targeting_00224	1
negative_control_na	non-targeting_00237	1
negative_control_na	non-targeting_00571	1
negative_control_na	non-targeting_00307	1
negative_control_na	non-targeting_00464	1
negative_control_na	non-targeting_00536	1
negative_control_na	non-targeting_00361	1
negative_control_na	non-targeting_00473	1
negative_control_na	non-targeting_00486	1
negative_control_na	non-targeting_00037	1
negative_control_na	non-targeting_00082	1
negative_control_na	non-targeting_00332	1
negative_control_na	non-targeting_00138	1
negative_control_na	non-targeting_00426	1
negative_control_na	non-targeting_00236	1
negative_control_na	non-targeting_00033	1
negative_control_na	non-targeting_00187	1
negative_control_na	non-targeting_00104	1
negative_control_na	non-targeting_00548	1
negative_control_na	non-targeting_00325	1
negative_control_na	non-targeting_00505	1
negative_control_na	non-targeting_00013	1
negative_control_na	non-targeting_00016	1
negative_control_na	non-targeting_00223	1
negative_control_na	non-targeting_00268	1
negative_control_na	non-targeting_00166	1
negative_control_na	non-targeting_00470	1
negative_control_na	non-targeting_00584	1
negative_control_na	non-targeting_00020	1
negative_control_na	non-targeting_00026	1
negative_control_na	non-targeting_00214	1
negative_control_na	non-targeting_00596	1
negative_control_na	non-targeting_00624	1
negative_control_na	non-targeting_00609	1
negative_control_na	non-targeting_00117	1
negative_control_na	non-targeting_00386	1
negative_control_na	non-targeting_00294	1
negative_control_na	non-targeting_00088	1
negative_control_na	non-targeting_00485	1
negative_control_na	non-targeting_00457	1
negative_control_na	non-targeting_00025	1
negative_control_na	non-targeting_00532	1
negative_control_na	non-targeting_00141	1
negative_control_na	non-targeting_00335	1
negative_control_na	non-targeting_00121	1
negative_control_na	non-targeting_00477	1
negative_control_na	non-targeting_00045	1
negative_control_na	non-targeting_00397	1
negative_control_na	non-targeting_00516	1
negative_control_na	non-targeting_00438	1
negative_control_na	non-targeting_00454	1
negative_control_na	non-targeting_00500	1
negative_control_na	non-targeting_00414	1
negative_control_na	non-targeting_00164	1
negative_control_na	non-targeting_00538	1
negative_control_na	non-targeting_00352	1
negative_control_na	non-targeting_00494	1
negative_control_na	non-targeting_00009	1
negative_control_na	non-targeting_00087	1
negative_control_na	non-targeting_00587	1
negative_control_na	non-targeting_00271	1
negative_control_na	non-targeting_00582	1
negative_control_na	non-targeting_00436	1
negative_control_na	non-targeting_00102	1
negative_control_na	non-targeting_00083	1
negative_control_na	non-targeting_00318	1
negative_control_na	non-targeting_00348	1
negative_control_na	non-targeting_00035	1
negative_control_na	non-targeting_00114	1
negative_control_na	non-targeting_00206	1
negative_control_na	non-targeting_00061	1
negative_control_na	non-targeting_00408	1
negative_control_na	non-targeting_00159	1
negative_control_na	non-targeting_00221	1
negative_control_na	non-targeting_00518	1
negative_control_na	non-targeting_00239	1
negative_control_na	non-targeting_00306	1
negative_control_na	non-targeting_00313	1
negative_control_na	non-targeting_00276	1
negative_control_na	non-targeting_00213	1
negative_control_na	non-targeting_00610	1
negative_control_na	non-targeting_00524	1
negative_control_na	non-targeting_00041	1
negative_control_na	non-targeting_00139	1
negative_control_na	non-targeting_00270	1
negative_control_na	non-targeting_00405	1
negative_control_na	non-targeting_00132	1
negative_control_na	non-targeting_00455	1
negative_control_na	non-targeting_00474	1
negative_control_na	non-targeting_00602	1
negative_control_na	non-targeting_00284	1
negative_control_na	non-targeting_00431	1
negative_control_na	non-targeting_00450	1
negative_control_na	non-targeting_00606	1
negative_control_na	non-targeting_00544	1
negative_control_na	non-targeting_00427	1
negative_control_na	non-targeting_00346	1
negative_control_na	non-targeting_00312	1
negative_control_na	non-targeting_00418	1
negative_control_na	non-targeting_00036	1
negative_control_na	non-targeting_00428	1
negative_control_na	non-targeting_00023	1
negative_control_na	non-targeting_00116	1
negative_control_na	non-targeting_00044	1
negative_control_na	non-targeting_00172	1
negative_control_na	non-targeting_00421	1
negative_control_na	non-targeting_00012	1
negative_control_na	non-targeting_00085	1
negative_control_na	non-targeting_00528	1
negative_control_na	non-targeting_00059	1
negative_control_na	non-targeting_00186	1
negative_control_na	non-targeting_00416	1
negative_control_na	non-targeting_00533	1
negative_control_na	non-targeting_00017	1
negative_control_na	non-targeting_00179	1
negative_control_na	non-targeting_00556	1
negative_control_na	non-targeting_00062	1
negative_control_na	non-targeting_00497	1
negative_control_na	non-targeting_00135	1
negative_control_na	non-targeting_00275	1
negative_control_na	non-targeting_00230	1
negative_control_na	non-targeting_00254	1
negative_control_na	non-targeting_00057	1
negative_control_na	non-targeting_00550	1
negative_control_na	non-targeting_00398	1
negative_control_na	non-targeting_00154	1
negative_control_na	non-targeting_00290	1
negative_control_na	non-targeting_00493	1
negative_control_na	non-targeting_00003	1
negative_control_na	non-targeting_00167	1
negative_control_na	non-targeting_00389	1
negative_control_na	non-targeting_00343	1
negative_control_na	non-targeting_00433	1
negative_control_na	non-targeting_00543	1
negative_control_na	non-targeting_00143	1
negative_control_na	non-targeting_00423	1
negative_control_na	non-targeting_00140	1
negative_control_na	non-targeting_00396	1
negative_control_na	non-targeting_00564	1
negative_control_na	non-targeting_00459	1
negative_control_na	non-targeting_00506	1
negative_control_na	non-targeting_00291	1
negative_control_na	non-targeting_00526	1
negative_control_na	non-targeting_00328	1
negative_control_na	non-targeting_00021	1
negative_control_na	non-targeting_00448	1
negative_control_na	non-targeting_00566	1
negative_control_na	non-targeting_00583	1
negative_control_na	non-targeting_00095	1
negative_control_na	non-targeting_00598	1
negative_control_na	non-targeting_00362	1
negative_control_na	non-targeting_00153	1
negative_control_na	non-targeting_00068	1
negative_control_na	non-targeting_00171	1
negative_control_na	non-targeting_00337	1
negative_control_na	non-targeting_00567	1
negative_control_na	non-targeting_00145	1
negative_control_na	non-targeting_00007	1
negative_control_na	non-targeting_00374	1
negative_control_na	non-targeting_00345	1
negative_control_na	non-targeting_00101	1
negative_control_na	non-targeting_00388	1
negative_control_na	non-targeting_00253	1
negative_control_na	non-targeting_00310	1
negative_control_na	non-targeting_00097	1
negative_control_na	non-targeting_00399	1
negative_control_na	non-targeting_00251	1
negative_control_na	non-targeting_00241	1
negative_control_na	non-targeting_00133	1
negative_control_na	non-targeting_00558	1
negative_control_na	non-targeting_00300	1
negative_control_na	non-targeting_00120	1
negative_control_na	non-targeting_00482	1
negative_control_na	non-targeting_00163	1
negative_control_na	non-targeting_00094	1
negative_control_na	non-targeting_00151	1
negative_control_na	non-targeting_00395	1
negative_control_na	non-targeting_00491	1
negative_control_na	non-targeting_00103	1
negative_control_na	non-targeting_00128	1
negative_control_na	non-targeting_00209	1
negative_control_na	non-targeting_00064	1
negative_control_na	non-targeting_00015	1
negative_control_na	non-targeting_00546	1
negative_control_na	non-targeting_00384	1
negative_control_na	non-targeting_00149	1
negative_control_na	non-targeting_00292	1
negative_control_na	non-targeting_00483	1
negative_control_na	non-targeting_00131	1
negative_control_na	non-targeting_00519	1
negative_control_na	non-targeting_00029	1
negative_control_na	non-targeting_00501	1
negative_control_na	non-targeting_00373	1
negative_control_na	non-targeting_00267	1
negative_control_na	non-targeting_00299	1
negative_control_na	non-targeting_00592	1
negative_control_na	non-targeting_00549	1
negative_control_na	non-targeting_00247	1
negative_control_na	non-targeting_00510	1
negative_control_na	non-targeting_00058	1
negative_control_na	non-targeting_00073	1
negative_control_na	non-targeting_00246	1
negative_control_na	non-targeting_00447	1
negative_control_na	non-targeting_00601	1
negative_control_na	non-targeting_00150	1
negative_control_na	non-targeting_00161	1
negative_control_na	non-targeting_00534	1
negative_control_na	non-targeting_00250	1
negative_control_na	non-targeting_00607	1
negative_control_na	non-targeting_00248	1
negative_control_na	non-targeting_00385	1
negative_control_na	non-targeting_00039	1
negative_control_na	non-targeting_00259	1
negative_control_na	non-targeting_00152	1
negative_control_na	non-targeting_00568	1
negative_control_na	non-targeting_00227	1
negative_control_na	non-targeting_00540	1
negative_control_na	non-targeting_00053	1
negative_control_na	non-targeting_00563	1
negative_control_na	non-targeting_00297	1
negative_control_na	non-targeting_00197	1
negative_control_na	non-targeting_00461	1
negative_control_na	non-targeting_00622	1
negative_control_na	non-targeting_00507	1
negative_control_na	non-targeting_00202	1
negative_control_na	non-targeting_00499	1
negative_control_na	non-targeting_00022	1
negative_control_na	non-targeting_00177	1
negative_control_na	non-targeting_00019	1
negative_control_na	non-targeting_00599	1
negative_control_na	non-targeting_00269	1
negative_control_na	non-targeting_00180	1
negative_control_na	non-targeting_00458	1
negative_control_na	non-targeting_00027	1
negative_control_na	non-targeting_00311	1
negative_control_na	non-targeting_00303	1
negative_control_na	non-targeting_00588	1
negative_control_na	non-targeting_00565	1
negative_control_na	non-targeting_00158	1
negative_control_na	non-targeting_00443	1
negative_control_na	non-targeting_00000	1
negative_control_na	non-targeting_00326	1
negative_control_na	non-targeting_00287	1
negative_control_na	non-targeting_00314	1
negative_control_na	non-targeting_00369	1
negative_control_na	non-targeting_00525	1
negative_control_na	non-targeting_00367	1
negative_control_na	non-targeting_00115	1
negative_control_na	non-targeting_00498	1
negative_control_na	non-targeting_00484	1
negative_control_na	non-targeting_00317	1
negative_control_na	non-targeting_00077	1
negative_control_na	non-targeting_00445	1
negative_control_na	non-targeting_00076	1
negative_control_na	non-targeting_00390	1
negative_control_na	non-targeting_00380	1
negative_control_na	non-targeting_00504	1
negative_control_na	non-targeting_00479	1
negative_control_na	non-targeting_00392	1
negative_control_na	non-targeting_00178	1
negative_control_na	non-targeting_00305	1
negative_control_na	non-targeting_00430	1
negative_control_na	non-targeting_00146	1
negative_control_na	non-targeting_00301	1
negative_control_na	non-targeting_00515	1
negative_control_na	non-targeting_00613	1
negative_control_na	non-targeting_00165	1
negative_control_na	non-targeting_00551	1
negative_control_na	non-targeting_00616	1
negative_control_na	non-targeting_00155	1
negative_control_na	non-targeting_00391	1
negative_control_na	non-targeting_00040	1
negative_control_na	non-targeting_00407	1
negative_control_na	non-targeting_00308	1
negative_control_na	non-targeting_00038	1
negative_control_na	non-targeting_00130	1
negative_control_na	non-targeting_00122	1
negative_control_na	non-targeting_00196	1
negative_control_na	non-targeting_00612	1
negative_control_na	non-targeting_00444	1
negative_control_na	non-targeting_00234	1
negative_control_na	non-targeting_00403	1
negative_control_na	non-targeting_00589	1
negative_control_na	non-targeting_00051	1
negative_control_na	non-targeting_00005	1
negative_control_na	non-targeting_00322	1
negative_control_na	non-targeting_00203	1
negative_control_na	non-targeting_00226	1
negative_control_na	non-targeting_00576	1
negative_control_na	non-targeting_00008	1
negative_control_na	non-targeting_00199	1
negative_control_na	non-targeting_00055	1
negative_control_na	non-targeting_00075	1
negative_control_na	non-targeting_00282	1
negative_control_na	non-targeting_00580	1
negative_control_na	non-targeting_00481	1
negative_control_na	non-targeting_00170	1
negative_control_na	non-targeting_00092	1
negative_control_na	non-targeting_00100	1
negative_control_na	non-targeting_00066	1
negative_control_na	non-targeting_00552	1
negative_control_na	non-targeting_00240	1
negative_control_na	non-targeting_00330	1
negative_control_na	non-targeting_00173	1
negative_control_na	non-targeting_00340	1
negative_control_na	non-targeting_00404	1
negative_control_na	non-targeting_00137	1
negative_control_na	non-targeting_00559	1
negative_control_na	non-targeting_00333	1
negative_control_na	non-targeting_00014	1
negative_control_na	non-targeting_00561	1
negative_control_na	non-targeting_00277	1
negative_control_na	non-targeting_00136	1
negative_control_na	non-targeting_00108	1
negative_control_na	non-targeting_00195	1
negative_control_na	non-targeting_00446	1
negative_control_na	non-targeting_00605	1
negative_control_na	non-targeting_00590	1
negative_control_na	non-targeting_00070	1
negative_control_na	non-targeting_00207	1
negative_control_na	non-targeting_00218	1
negative_control_na	non-targeting_00293	1
negative_control_na	non-targeting_00371	1
negative_control_na	non-targeting_00585	1
negative_control_na	non-targeting_00487	1
negative_control_na	non-targeting_00354	1
negative_control_na	non-targeting_00581	1
negative_control_na	non-targeting_00320	1
negative_control_na	non-targeting_00119	1
negative_control_na	non-targeting_00174	1
negative_control_na	non-targeting_00406	1
negative_control_na	non-targeting_00169	1
negative_control_na	non-targeting_00272	1
negative_control_na	non-targeting_00110	1
negative_control_na	non-targeting_00245	1
negative_control_na	non-targeting_00222	1
negative_control_na	non-targeting_00065	1
negative_control_na	non-targeting_00156	1
negative_control_na	non-targeting_00600	1
negative_control_na	non-targeting_00411	1
negative_control_na	non-targeting_00372	1
negative_control_na	non-targeting_00176	1
negative_control_na	non-targeting_00216	1
negative_control_na	non-targeting_00344	1
negative_control_na	non-targeting_00439	1
negative_control_na	non-targeting_00547	1
negative_control_na	non-targeting_00124	1
negative_control_na	non-targeting_00535	1
negative_control_na	non-targeting_00262	1
negative_control_na	non-targeting_00067	1
negative_control_na	non-targeting_00350	1
negative_control_na	non-targeting_00413	1
negative_control_na	non-targeting_00393	1
negative_control_na	non-targeting_00336	1
negative_control_na	non-targeting_00366	1
negative_control_na	non-targeting_00469	1
negative_control_na	non-targeting_00586	1
negative_control_na	non-targeting_00545	1
negative_control_na	non-targeting_00208	1
negative_control_na	non-targeting_00342	1
negative_control_na	non-targeting_00185	1
negative_control_na	non-targeting_00228	1
negative_control_na	non-targeting_00359	1
negative_control_na	non-targeting_00617	1
negative_control_na	non-targeting_00453	1
negative_control_na	non-targeting_00569	1
negative_control_na	non-targeting_00323	1
negative_control_na	non-targeting_00512	1
negative_control_na	non-targeting_00355	1
negative_control_na	non-targeting_00107	1
negative_control_na	non-targeting_00530	1
negative_control_na	non-targeting_00475	1
negative_control_na	non-targeting_00478	1
negative_control_na	non-targeting_00283	1
negative_control_na	non-targeting_00157	1
negative_control_na	non-targeting_00054	1
negative_control_na	non-targeting_00451	1
negative_control_na	non-targeting_00394	1
negative_control_na	non-targeting_00351	1
negative_control_na	non-targeting_00072	1
negative_control_na	non-targeting_00615	1
negative_control_na	non-targeting_00412	1
negative_control_na	non-targeting_00125	1
negative_control_na	non-targeting_00370	1
negative_control_na	non-targeting_00127	1
