GeneID	GeneSymbol	Chromosome	Start	End	Class	Strand	Length	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
10044	ENSG00000230021.10	ENSG00000230021	chr1	586071	827796	transcribed_processed_pseudogene	-	241725	176.691948226219	-0.0688005450479075	0.130385091754058	-0.527671868940999	0.597727101391717	0.904938152329804
10320	ENSG00000237491.10	LINC01409	chr1	778747	810065	lncRNA	+	31318	52.3207528554603	-0.113260110540968	0.235421162501582	-0.481095706679329	0.630448479304506	NA
9995	ENSG00000228794.12	LINC01128	chr1	825138	859446	lncRNA	+	34308	232.04001739247	-0.206984237669295	0.121826323240074	-1.69901078982255	0.0893171506352986	0.465512043907604
11255	ENSG00000272438.1	ENSG00000272438	chr1	904834	915976	lncRNA	+	11142	30.0489586860263	-0.510122286864144	0.297737343873449	-1.71332987735985	0.0866518687911568	NA
8825	ENSG00000187634.13	SAMD11	chr1	923923	944575	protein_coding	+	20652	19.0582257240145	-0.235424460906515	0.384656144884843	-0.612038736511009	0.540512129002142	NA
8919	ENSG00000188976.11	NOC2L	chr1	944203	959309	protein_coding	-	15106	327.490324251887	-0.089371838273459	0.109610040901914	-0.815361781987056	0.414865253834386	0.806823837211658
8848	ENSG00000187961.15	KLHL17	chr1	960584	965719	protein_coding	+	5135	30.5189493078641	-0.273439647190514	0.287916832652623	-0.949717474561218	0.342255828174783	NA
8822	ENSG00000187608.10	ISG15	chr1	1001138	1014540	protein_coding	+	13402	20.4952048165469	-0.538253006595068	0.379705610084981	-1.41755347379409	0.156321171899476	NA
8861	ENSG00000188157.15	AGRN	chr1	1020120	1056118	protein_coding	+	35998	230.229499395175	-0.0642321071992997	0.130854253545871	-0.490867552706515	0.623520127619102	0.911268031939184
3998	ENSG00000131591.18	C1orf159	chr1	1081818	1116361	protein_coding	-	34543	564.334709730924	-0.0550629105292674	0.117651741885824	-0.468016109635704	0.639773069409541	0.916279674688773
943	ENSG00000078808.20	SDF4	chr1	1216931	1232031	protein_coding	-	15100	236.411579393092	0.0760463478540064	0.122158159561661	0.622523686726151	0.533597573511332	0.870187347003214
7975	ENSG00000176022.7	B3GALT6	chr1	1232237	1235041	protein_coding	+	2804	34.7234151362149	0.129011360706089	0.261765625056479	0.49285065859298	0.622118113192676	NA
6226	ENSG00000160087.21	UBE2J2	chr1	1253909	1273864	protein_coding	-	19955	466.790587900402	0.102688443179658	0.11681062305014	0.879101921539964	0.379346015984271	0.790555637133664
3997	ENSG00000131584.19	ACAP3	chr1	1292390	1309609	protein_coding	-	17219	86.9533575121433	-0.156731482901655	0.24060158821602	-0.651414997148468	0.514778632181235	NA
