GeneID	GeneSymbol	Chromosome	Start	End	Class	Strand	Length	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
10044	ENSG00000230021.10	ENSG00000230021	chr1	586071	827796	transcribed_processed_pseudogene	-	241725	176.691948226219	0.388673468183675	0.204028848033611	1.90499271024481	0.0567810186997969	0.173985910855584
10320	ENSG00000237491.10	LINC01409	chr1	778747	810065	lncRNA	+	31318	52.3207528554603	0.246846222988435	0.358880130306197	0.687823599422531	0.491563872929826	0.702231998881341
9995	ENSG00000228794.12	LINC01128	chr1	825138	859446	lncRNA	+	34308	232.04001739247	-0.782607826757879	0.205995735163599	-3.79914577423821	0.00014519567536603	0.00160432061080901
11255	ENSG00000272438.1	ENSG00000272438	chr1	904834	915976	lncRNA	+	11142	30.0489586860263	-0.982693205680852	0.572027289296317	-1.71791315566381	0.0858124568620235	0.233354842367389
8825	ENSG00000187634.13	SAMD11	chr1	923923	944575	protein_coding	+	20652	19.0582257240145	-0.164946483606018	0.548832379146218	-0.30054072950764	0.763764733803047	NA
8919	ENSG00000188976.11	NOC2L	chr1	944203	959309	protein_coding	-	15106	327.490324251887	-0.761036323469235	0.178751953193814	-4.25749934404393	2.06726266798729e-05	0.000318212773022146
8848	ENSG00000187961.15	KLHL17	chr1	960584	965719	protein_coding	+	5135	30.5189493078641	0.80420881270865	0.559739584496608	1.43675529654009	0.150787536672274	0.338257456604028
8822	ENSG00000187608.10	ISG15	chr1	1001138	1014540	protein_coding	+	13402	20.4952048165469	-0.577895076538667	0.589809062977268	-0.979800265566519	0.327184721012166	NA
8861	ENSG00000188157.15	AGRN	chr1	1020120	1056118	protein_coding	+	35998	230.229499395175	-0.0854767296634307	0.221042292385952	-0.386698530587909	0.698979404112596	0.841828511289521
3998	ENSG00000131591.18	C1orf159	chr1	1081818	1116361	protein_coding	-	34543	564.334709730924	-0.461269502147017	0.176034338505842	-2.6203382025474	0.00878426025897396	0.0432631172901811
943	ENSG00000078808.20	SDF4	chr1	1216931	1232031	protein_coding	-	15100	236.411579393092	-0.0112518312835944	0.198286342993883	-0.0567453668956997	0.954748034656986	0.978379904424227
7975	ENSG00000176022.7	B3GALT6	chr1	1232237	1235041	protein_coding	+	2804	34.7234151362149	-0.575186103116882	0.432384983653037	-1.33026382705842	0.183431360961421	0.384174165902996
6226	ENSG00000160087.21	UBE2J2	chr1	1253909	1273864	protein_coding	-	19955	466.790587900402	-0.211381411726066	0.174207650412553	-1.213387651033	0.224981645431633	0.438506631488022
3997	ENSG00000131584.19	ACAP3	chr1	1292390	1309609	protein_coding	-	17219	86.9533575121433	-0.299143645558527	0.393785091517576	-0.759662191388917	0.447456534138497	0.663513772612229
7411	ENSG00000169972.13	PUSL1	chr1	1308597	1311677	protein_coding	+	3080	23.7512896089616	-0.173574515240052	0.541808701653954	-0.320361254276997	0.748694493590215	0.871322069296378
3665	ENSG00000127054.22	INTS11	chr1	1311585	1324687	protein_coding	-	13102	188.73246832538	-0.2133205188373	0.24095169373406	-0.885324836407845	0.375981458355863	0.601800425475617
9794	ENSG00000224051.7	CPTP	chr1	1324756	1328896	protein_coding	+	4140	18.7356714071359	-0.458376134998143	0.659344341914185	-0.695199921891195	0.48693002128624	NA
2168	ENSG00000107404.21	DVL1	chr1	1335276	1349418	protein_coding	-	14142	114.91692517445	-0.450166991897149	0.301739268701082	-1.49190721457971	0.135723471085984	0.316544019082704
6415	ENSG00000162576.17	MXRA8	chr1	1352689	1361777	protein_coding	-	9088	54.766898908994	0.0395925581547523	0.389160200168409	0.101738456650034	0.918964276510529	0.962053042739747
7958	ENSG00000175756.14	AURKAIP1	chr1	1373730	1375207	protein_coding	-	1477	80.2020437713627	-0.367874016708306	0.32428461264153	-1.13441712115697	0.256619620640303	0.476015962974287
9756	ENSG00000221978.13	CCNL2	chr1	1385711	1399335	protein_coding	-	13624	590.755413484365	0.0238338749506924	0.176645535954085	0.134924864203121	0.892671280514689	0.949866502073542
9831	ENSG00000224870.9	MRPL20-AS1	chr1	1399515	1402046	lncRNA	+	2531	46.6228363495163	-0.28123750871748	0.422380129202809	-0.665839818857675	0.505513490426856	0.711384280340637
10404	ENSG00000242485.6	MRPL20	chr1	1401909	1407293	protein_coding	-	5384	206.572584055741	-0.400948058537936	0.219772880615244	-1.82437458805427	0.068095461091464	0.197577559453178
11256	ENSG00000272455.1	MRPL20-DT	chr1	1409096	1410618	lncRNA	+	1522	17.9084207864452	-2.22732146240156	0.769761066471069	-2.89352314558153	0.00380946213023359	NA
6224	ENSG00000160072.20	ATAD3B	chr1	1471765	1497848	protein_coding	+	26083	341.222792782897	-1.02079188393535	0.202581801642146	-5.03891206248896	4.68185521371514e-07	1.17192705849695e-05
9199	ENSG00000197785.14	ATAD3A	chr1	1512162	1534685	protein_coding	+	22523	205.411428481205	-0.574091971444495	0.232862117227904	-2.46537297813293	0.0136870694624646	0.0609701776338902
6225	ENSG00000160075.12	SSU72	chr1	1541673	1574863	protein_coding	-	33190	676.507833381414	-0.0935524798144591	0.185953214350745	-0.503096868430574	0.614896168328323	0.789369452972611
9707	ENSG00000215014.5	ENSG00000215014	chr1	1574102	1577075	lncRNA	+	2973	10.7432462010601	-0.695368630969704	0.728457897344627	-0.954576281627888	0.339792016369616	NA
11239	ENSG00000272106.1	ENSG00000272106	chr1	1613758	1615795	lncRNA	-	2037	13.0411783714324	-0.854240742454386	0.636212701797873	-1.34269677427123	0.179370179644402	NA
9169	ENSG00000197530.13	MIB2	chr1	1615454	1630605	protein_coding	+	15151	31.8518080995358	0.0408758038098523	0.462522879456546	0.0883757444775067	0.929578038954457	0.967448105913283
10525	ENSG00000248333.9	CDK11B	chr1	1635225	1659012	protein_coding	-	23787	160.948845959114	-0.024705800019162	0.23469116067715	-0.105269410010496	0.916162035355323	0.961335136348075
8953	ENSG00000189339.12	SLC35E2B	chr1	1659529	1692795	protein_coding	-	33266	226.263794692889	0.432000183950179	0.189070323885104	2.2848650971408	0.0223207391638983	0.0880723131161718
11827	ENSG00000290854.1	ENSG00000290854	chr1	1724838	1745992	lncRNA	-	21154	13.5439138278675	0.723173278254574	0.695129228761502	1.04034364882489	0.298180272006617	NA
121	ENSG00000008130.15	NADK	chr1	1751232	1780457	protein_coding	-	29225	645.120188248892	-0.397840954077996	0.132583931103354	-3.00067248547537	0.00269384136502893	0.0171447551534431
933	ENSG00000078369.19	GNB1	chr1	1785285	1892292	protein_coding	-	107007	3549.52713280405	0.090921920070017	0.091442947204812	0.994302161613098	0.320075783652936	0.546391994316629
668	ENSG00000067606.17	PRKCZ	chr1	2050411	2185395	protein_coding	+	134984	281.989174321388	-0.0265706103420232	0.164338539815434	-0.161682161542047	0.871556152727661	0.939936384464142
6416	ENSG00000162585.17	FAAP20	chr1	2184461	2212720	protein_coding	-	28259	77.9032798711646	-0.0673937050215916	0.354840374143875	-0.189926823248884	0.849366473105069	0.927248501085091
6095	ENSG00000157933.11	SKI	chr1	2227388	2310213	protein_coding	+	82825	1025.65297940474	-0.374391427495717	0.142431230045311	-2.62857680423466	0.00857429908762088	0.0424860073017298
2877	ENSG00000116151.14	MORN1	chr1	2321253	2391707	protein_coding	-	70454	88.0964145551874	0.257971380198641	0.264591373542362	0.974980313019688	0.329570025533841	0.555947840669756
6093	ENSG00000157916.20	RER1	chr1	2391775	2405442	protein_coding	+	13667	306.721494581607	0.0998820708354818	0.196057451828847	0.509453070535041	0.610434685119935	0.786306873363331
6092	ENSG00000157911.11	PEX10	chr1	2403964	2413797	protein_coding	-	9833	64.5978263253277	-0.124477561689072	0.309573215883928	-0.402094093746611	0.687614779309358	0.834542962182444
6090	ENSG00000157881.16	PANK4	chr1	2508537	2526597	protein_coding	-	18060	209.704830709171	-0.150451823660672	0.216159348109977	-0.696022748847878	0.486414583305528	0.698557222854128
6089	ENSG00000157870.17	PRXL2B	chr1	2586491	2591469	protein_coding	+	4978	15.2236781799152	0.194435637770823	0.729062984210847	0.266692510772967	0.789705920679439	NA
6106	ENSG00000158109.15	TPRG1L	chr1	3625015	3630127	protein_coding	+	5112	27.1904512365088	-0.103011605084005	0.530218689986297	-0.194281354145903	0.845955584707422	0.92496048451228
2886	ENSG00000116213.16	WRAP73	chr1	3630767	3652761	protein_coding	-	21994	142.21424116563	-0.449885702596871	0.214502448467188	-2.09734530217117	0.0359630193139048	0.125294566179272
944	ENSG00000078900.15	TP73	chr1	3652516	3736201	protein_coding	+	83685	228.569959863219	0.323990073700115	0.240158860441307	1.34906566888585	0.177315874190785	0.375808388575299
9935	ENSG00000227372.12	TP73-AS1	chr1	3735511	3747373	transcribed_unitary_pseudogene	-	11862	181.013523063996	-0.291316127986751	0.258790644014479	-1.12568261150296	0.260299886462846	0.481055560698916
10234	ENSG00000235169.11	SMIM1	chr1	3772749	3775982	protein_coding	+	3233	37.0955562769533	-1.28826162304047	0.502453871129633	-2.56394008895614	0.0103491406711142	0.0490022889104267
3922	ENSG00000130764.10	LRRC47	chr1	3778559	3796498	protein_coding	-	17939	285.835625619728	-0.1930923958364	0.18126613656507	-1.06524251851688	0.286766197310671	0.511799622657631
2881	ENSG00000116198.14	CEP104	chr1	3812086	3857396	protein_coding	-	45310	372.257443461928	-0.0334852166984726	0.210919017268208	-0.158758641739224	0.87385903457128	0.940769395304583
