GeneID	GeneSymbol	Chromosome	Start	End	Class	Strand	Length	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
10044	ENSG00000230021.10	ENSG00000230021	chr1	586071	827796	transcribed_processed_pseudogene	-	241725	176.691948226219	0.256741294383379	0.191559886375031	1.34026647875922	0.180158725457114	0.401721722609739
10320	ENSG00000237491.10	LINC01409	chr1	778747	810065	lncRNA	+	31318	52.3207528554603	-0.159124077258044	0.33270067454689	-0.478279995899491	0.632450932251765	0.819971061858258
9995	ENSG00000228794.12	LINC01128	chr1	825138	859446	lncRNA	+	34308	232.04001739247	-0.541193813854875	0.172885085127646	-3.1303672809907	0.00174587869703172	0.0141282651269176
11255	ENSG00000272438.1	ENSG00000272438	chr1	904834	915976	lncRNA	+	11142	30.0489586860263	-0.510337060310383	0.429593063229906	-1.18795461098325	0.234851292396756	0.472888232568953
8825	ENSG00000187634.13	SAMD11	chr1	923923	944575	protein_coding	+	20652	19.0582257240145	0.344384848925985	0.523589974591302	0.657737668095729	0.510706713353186	0.736541918087865
8919	ENSG00000188976.11	NOC2L	chr1	944203	959309	protein_coding	-	15106	327.490324251887	-0.621445236483263	0.155127580838962	-4.00602673697585	6.17486625002625e-05	0.000935497356522405
8848	ENSG00000187961.15	KLHL17	chr1	960584	965719	protein_coding	+	5135	30.5189493078641	-0.700069338368573	0.401510928661077	-1.74358725602589	0.0812310870958921	0.237695766466873
8822	ENSG00000187608.10	ISG15	chr1	1001138	1014540	protein_coding	+	13402	20.4952048165469	-0.783257988445097	0.506468963081428	-1.54650737861536	0.121982079470739	0.312533340622223
8861	ENSG00000188157.15	AGRN	chr1	1020120	1056118	protein_coding	+	35998	230.229499395175	-0.0107358104538945	0.179325342899139	-0.0598677815434757	0.952260940453976	0.979059373740196
3998	ENSG00000131591.18	C1orf159	chr1	1081818	1116361	protein_coding	-	34543	564.334709730924	-0.420569732759901	0.161512086464222	-2.603952075457	0.00921556419436692	0.0501026505109158
943	ENSG00000078808.20	SDF4	chr1	1216931	1232031	protein_coding	-	15100	236.411579393092	-0.420531650307742	0.170707144085587	-2.46346837187377	0.0137600034944075	0.0672471456179847
7975	ENSG00000176022.7	B3GALT6	chr1	1232237	1235041	protein_coding	+	2804	34.7234151362149	0.113886988610272	0.343113547181615	0.331922156807146	0.739948039263168	0.88189614097872
6226	ENSG00000160087.21	UBE2J2	chr1	1253909	1273864	protein_coding	-	19955	466.790587900402	-0.182195561732525	0.162139099102254	-1.12369911231357	0.261140693134677	0.507266022549106
3997	ENSG00000131584.19	ACAP3	chr1	1292390	1309609	protein_coding	-	17219	86.9533575121433	-0.466487296994092	0.330849707128103	-1.40996738683365	0.158549313046384	0.372118193169969
7411	ENSG00000169972.13	PUSL1	chr1	1308597	1311677	protein_coding	+	3080	23.7512896089616	-0.240228581552062	0.396342382058066	-0.606113785522102	0.544439197414542	0.759522457362359
